Name,Rest Wavelength (micron),Strength (10^-17 W/m^2),S_err+,S_err-,Continuum (10^-17 W/m^2/um),C_err+,C_err-,Eqw (micron),E_err+,E_err-
PAH,8.33,2596.0615198415117,119.81587969223301,144.001587548089,533.9428995635844,11.608735765218967,11.714053250038546,4.853299897879998,0.29322407020366725,0.3101416836076707
PAH,8.61,1505.9813001568084,55.57209518189575,43.35675503722882,281.5937995230464,7.43829211278819,7.899476164514681,5.361184460654163,0.2663234781191788,0.23381835450045774
PAH 8.6 Complex,8.61,1505.9813001568084,55.57209518189575,43.35675503722882,281.5937995230464,7.43829211278819,7.899476164514681,5.361184460654163,0.2663234781191788,0.23381835450045774
PAH,10.68,141.5769179344531,16.79971106904989,17.850465972903848,64.86832653834142,1.586294272353399,1.5595558854625438,2.1796736778978474,0.2946126846257173,0.2944096117286161
PAH,11.23,1105.2606733518683,23.704611300856868,25.61795283585343,111.32957236411713,2.881424717889857,2.8163736962109027,9.925894210114006,0.32538463959088837,0.3275499963243451
PAH,11.33,2386.4956007413384,43.76139512832469,47.782892660344714,133.92443392947249,3.5710340645842678,3.346572588237109,17.814620556060607,0.7080722594661566,0.7179341886480195
PAH11.3Complex,11.3,3491.980422599373,34.94284637895544,41.32566859118606,122.30337762800403,3.1995880304218502,3.0488282622934406,28.543940528252854,0.954167719829524,0.9874479866773598
PAH,11.99,1884.2150390664297,80.31767066727252,79.2174409803813,383.6480820745501,8.060559374861612,7.677646756600268,4.909233190235655,0.29491824309850223,0.2811537659171952
PAH,12.62,2934.0337359795058,105.8969491574403,133.416077912123,928.3566352123428,7.091172242550442,6.830225012395431,3.16057606921175,0.1303302906995265,0.1606079381008949
PAH,12.69,522.8860989551129,61.44200469666828,57.93507974198263,1046.0273543123194,7.338373283716919,6.94593698273502,0.4997302442240051,0.05613132797314663,0.05359393591041983
PAH12.7Complex,12.7,3456.436161599843,110.30983651269298,128.61550073537637,1030.620167959519,6.338526394141354,5.81276157650268,3.3544037638850095,0.12302508121597588,0.14357449908415365
PAH,13.48,673.6054772349482,110.75355071509648,105.43267825606063,1214.0986400705262,6.804919990525377,6.637359942043531,0.554883682812561,0.09441849219793508,0.0891272619168802
PAH,14.04,743.5134715844231,73.67595206757733,74.58189317316749,1234.0680118410721,8.084172566780126,8.188897143382292,0.6031153812238239,0.0607858465826141,0.06240678764763441
PAH,14.19,1977.951255548079,144.25776890918382,166.26853024358047,1243.6285429380541,8.995330450006122,9.01530589380127,1.5885278395842957,0.12367043446223014,0.1343044364742938
