Name,Rest Wavelength (micron),Strength (10^-17 W/m^2),S_err+,S_err-,Continuum (10^-17 W/m^2/um),C_err+,C_err-,Eqw (micron),E_err+,E_err-
PAH,6.22,4.045561537196844,0.07907368538837556,0.07812653038271389,0.3356570649891427,0.020376509776437735,0.02259377721374456,12.050684002822901,0.9275437762917242,0.7316255813176475
PAH 6.2 Complex,6.2,4.045561537196844,0.07907368538837556,0.07812653038271389,0.3356570649891427,0.020376509776437735,0.02259377721374456,12.050684002822901,0.9275437762917242,0.7316255813176475
PAH,6.69,1.0031965557606635,0.12156068445138168,0.12848838553058017,0.36767741965513756,0.02340488476572844,0.02648090937493719,2.7436885295641398,0.45925858137951003,0.4382868825791122
PAH,7.42,6.565122968895077,0.7306182234823417,0.6266906986844942,0.3933939932354931,0.026175898196633074,0.029724229642579036,16.743193409697085,2.6481693355926943,2.1559021618848426
PAH,7.6,4.780969591331316,0.5934836106934549,0.6084944118134938,0.3942992234880233,0.02648431807557311,0.029813762587744652,12.12855950395247,1.7598436151241845,1.6345061906211509
PAH,7.85,6.965917262319541,0.8034592319791676,0.721409636570356,0.3862745546576908,0.02608679240063233,0.029146901780062184,18.116461905541918,2.6244262959437883,2.326110882602313
PAH7.7Complex,7.7,18.382640648970447,0.4702623860565751,0.4681276316329246,0.39242505090155655,0.026382581645428116,0.02974432668247623,46.856996658941796,4.651136404688636,3.8499061861035884
PAH,8.33,1.3043661671891529,0.19995016902842289,0.18784242247663308,0.3047128979576913,0.02282715582851713,0.02260153152565131,4.292385785678225,0.8651131207008991,0.7669328618351674
PAH,8.61,3.7903496462521145,0.20807975531194334,0.2400962607792989,0.23827815757324677,0.017859947391256126,0.019059642143697625,15.890178601402813,1.856157133603677,1.6558812809919257
PAH 8.6 Complex,8.61,3.7903496462521145,0.20807975531194334,0.2400962607792989,0.23827815757324677,0.017859947391256126,0.019059642143697625,15.890178601402813,1.856157133603677,1.6558812809919257
PAH,10.68,0.15152657299766492,0.027100686342989372,0.027203136949067355,0.13481050081832788,0.00709955720210953,0.006123091514613599,1.1223607628975987,0.2156541905526841,0.2190729461012535
PAH,11.23,1.7118848221228091,0.1412312248412868,0.16612297075323168,0.139354475451493,0.008076164559539273,0.0074200759012251205,12.275137075691397,1.1169402124303573,1.2733437656222435
PAH,11.33,4.113275430384385,0.19523881663300724,0.1693498131912392,0.14188935438235256,0.008364822637891817,0.007834361127193962,28.962538044080873,2.3919821122310836,2.0055180951535156
PAH11.3Complex,11.3,5.816039318340435,0.13935489125674927,0.12023571918090514,0.14144279897217765,0.008279382038376804,0.007745852637104089,41.137004092442524,2.5822915892752576,2.3203263448934806
PAH,11.99,1.7960351274197233,0.16411329951005782,0.1380379248432606,0.17725025670127403,0.010868305349054225,0.011709488452203598,10.139276074360573,1.541428244764603,1.1983245868440058
PAH,12.62,2.882480341318508,0.23174191444365055,0.21695417354622704,0.23747849062284715,0.010202479841516926,0.010422666207350911,12.151901553835199,1.4943693054711282,1.3097934185395168
PAH,12.69,0.4366969641199421,0.10957972145403172,0.08102055552027804,0.2454125891168795,0.009767207533190242,0.009830384376773443,1.776648932652841,0.45438772184967346,0.33224056265746604
PAH12.7Complex,12.7,3.3339566197959125,0.219469514140211,0.19835563687561297,0.24483005537752706,0.009893179382489847,0.009832489687586515,13.60731478381473,1.4298901941964761,1.2393914269525759
PAH,13.48,0.563132349373505,0.10796375314350348,0.09621556041553209,0.2414498196049865,0.007459706245447673,0.0077851332368940596,2.336006269391107,0.525650452234228,0.448770598910724
PAH,14.04,0.05756173504678834,0.04486295739556688,0.034733048256408466,0.22806809042615558,0.007542779278185696,0.0080580776683645,0.2530433897724822,0.20103801283128298,0.1537871889757474
