Name,Rest Wavelength (micron),Strength (10^-17 W/m^2),S_err+,S_err-,Continuum (10^-17 W/m^2/um),C_err+,C_err-,Eqw (micron),E_err+,E_err-
H2 S(7),5.511,0.012118386759338691,0.011687809217081326,0.008465849093771276,0.3216804477197177,0.0206083856458128,0.020262833750186893,<0.21200398563537123,-,-
H2 S(6),6.109,0.042572577980228746,0.04262523629439617,0.03668795543794521,0.4294239318018948,0.026479046886847324,0.028359700748232297,<0.4303872224744071,-,-
H2 S(5),6.909,0.036688690022542186,0.025326140770608546,0.02144568277123824,0.49368299960911627,0.03398978738468145,0.034101993650989426,<0.308189260267606,-,-
Ar II,6.985,0.23260723545821407,0.02909911699747894,0.02883785743572506,0.4972744736870526,0.03415566664787506,0.03470627554635497,0.46819822077906265,0.06862876783288369,0.06584558218858949
NeVI,7.6524,0.12027254943572417,0.1469002898173854,0.08614902143308328,0.5105573573248783,0.03702862177173605,0.03675290550185639,<1.4918395909059479,-,-
H2 S(4),8.026,0.042958354311898456,0.039644165848042257,0.028187625178783877,0.47418418097452875,0.03584538858512909,0.032851374582479775,<0.42070326888038023,-,-
AR III,8.991,0.009968789411907198,0.012337108602818867,0.007192464282254402,0.24874864053597262,0.01524056510408811,0.01402365102634226,<0.3249768778542782,-,-
H2 S(3),9.665,0.13406863148520431,0.020457200159772593,0.018269670767283114,0.20634073633664995,0.01092208065824321,0.009665904025729921,0.649240536711719,0.0926513968051752,0.08600821562261152
S IV,10.511,0.0631858228709231,0.02218082303543986,0.02201819937856097,0.19979099279944793,0.011423894569321774,0.010125060920748274,<0.6994081804637051,-,-
H2 S(2),12.278,0.07895240951680098,0.02265044791863413,0.02299165254627361,0.28988862406707105,0.016157936886930457,0.014896424691488774,0.27209413888780765,0.07908649709972398,0.08057290059085706
Ne II,12.813,1.2159988238040764,0.07206253102272964,0.08857153283564179,0.335403619526217,0.01417316046390188,0.014890223244051315,3.615603961368004,0.25389140720792414,0.26649508988689163
C2H2,13.7,-0.024512190789727432,0.011242084877788125,0.013626009528300842,0.32245315037330924,0.01211597010734966,0.01314645533757397,<-0.0005136341698008689,-,-
HCN,14.0,-0.021676747839557305,0.009917432662269968,0.012000720738839319,0.3156828376398749,0.013269196033869002,0.014089813571418086,<-0.00048291611614062377,-,-
PAH,5.27,0.5180073815846293,0.08401080252561022,0.08158783303105593,0.25683925053411827,0.02199503881076398,0.019979297281950026,2.0171881331286805,0.45126436447649,0.39598808582700973
PAH,5.7,0.5903688391513934,0.060868814343811195,0.05401822451321325,0.3574225186479688,0.02167591374767186,0.021499925647916918,1.6548722561066982,0.24575161317497995,0.21412143084094026
PAH,6.22,5.488930955121713,0.11997888105891974,0.12014589089253835,0.43882100255392964,0.027105691452353253,0.029009920877088535,12.514655196811425,0.9441335424058312,0.8294848113663615
PAH 6.2 Complex,6.2,5.488930955121713,0.11997888105891974,0.12014589089253835,0.43882100255392964,0.027105691452353253,0.029009920877088535,12.514655196811425,0.9441335424058312,0.8294848113663615
PAH,6.69,1.276227666176175,0.20315615602957027,0.19572721794158787,0.4797051656208796,0.03201370516527624,0.03321538291191167,2.6596003772810857,0.5433638403966263,0.4892458748948454
PAH,7.42,8.196960651502625,0.9476213436321945,0.9355681992061982,0.5100490475881112,0.036755335539314204,0.036470282002189325,16.0388146296128,2.708359195504851,2.332607885704805
PAH,7.6,6.798909471177131,0.8504121668632978,0.9323250858584009,0.5111754045404981,0.037052900675090816,0.03680772315744346,13.244554066058718,2.1405999683762076,1.9544866926986781
PAH,7.85,9.742619561397921,1.077420474279835,1.0725833628388237,0.5012925984215079,0.03683318206861186,0.03566101747761774,19.400486526581183,2.733603730428122,2.4537932667148823
PAH7.7Complex,7.7,24.72748494417266,0.7126288007126682,0.6994495780017296,0.5088935515122972,0.03689652375592367,0.03653917829880293,48.53681942743786,4.857280729139141,4.03808111646682
PAH,8.33,1.8771242889399886,0.2864345350501383,0.2708917410839904,0.40638847520011473,0.030629715753425213,0.02653166515808264,4.617502134633926,0.8679960208925346,0.7937319736691788
PAH,8.61,5.310516925178689,0.31631117907687045,0.3350270316107986,0.3276142154156285,0.024002936964821364,0.02118477675021141,16.163406873054306,1.540677808204645,1.5206344513217989
PAH 8.6 Complex,8.61,5.310516925178689,0.31631117907687045,0.3350270316107986,0.3276142154156285,0.024002936964821364,0.02118477675021141,16.163406873054306,1.540677808204645,1.5206344513217989
PAH,10.68,0.20012656286573993,0.04686353712533142,0.04333547760722059,0.19962746426159722,0.011660007928885968,0.010262896071953215,0.998251395570886,0.25477784839744544,0.22789329415234705
PAH,11.23,2.421840911849011,0.24338570344386934,0.2674879030759363,0.20596885986185057,0.01220777496563974,0.011293608745254285,11.768694913851423,1.1440869803484581,1.2850179842443197
PAH,11.33,6.010820961654634,0.2928780522013916,0.2857259124976492,0.2090737066453231,0.012533323515551115,0.011717209398405176,28.765233274530566,2.1107261169495253,2.0305166209850185
PAH11.3Complex,11.3,8.413802725427164,0.254723289802973,0.2115375118319065,0.20860849795665976,0.012469961030307897,0.011680296835409304,40.41678278773061,2.1765725747296543,2.2182975344488156
PAH,11.99,2.4739750448439994,0.21466700679704775,0.1851115168021873,0.25127873362125525,0.014972973308644555,0.014797839404935925,9.839381198064004,1.349074037119717,1.0970206191330991
PAH,12.62,4.384997019996682,0.3282925278698743,0.34965995247805814,0.3214272523030487,0.01530310647279337,0.014662856571594607,13.595158646758538,1.6669400904256673,1.518919787547425
PAH,12.69,0.6304405426267012,0.16847198816955355,0.13916051715532468,0.3312100491375847,0.01445521026553942,0.01483451523715884,1.8955286245011513,0.524790705565195,0.41673870634298815
PAH12.7Complex,12.7,5.022145787948151,0.31990219931489783,0.3250572443367812,0.33028734490160516,0.014417643136731773,0.01497472811205075,15.186440006480085,1.670290570508941,1.468492664274363
PAH,13.48,0.8962305904913223,0.18446399143091774,0.16374957854771321,0.3281216801609597,0.012251285007014945,0.013148389399960603,2.738210401096727,0.6751595971394613,0.5728942614615224
PAH,14.04,0.10159871965221626,0.08094822570367075,0.06454295220155645,0.3151123075293804,0.013218430817529547,0.014244940352960256,0.3226167451109546,0.26794806023680695,0.20612283642359097
PAH,14.19,0.22253532180047278,0.15337580442249973,0.13398320885805173,0.3118356061826365,0.014187954709384887,0.015278700703340198,0.7114148743596753,0.5393102718612803,0.435544090549642
EW(12.7)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3829858240306998,0.03053767220123349,0.03252151438835832
EW(6.2)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5962156463556083,0.04416140304948746,0.048916728412316535
EW(7.7)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0240808430272796,0.15429609533119826,0.1702447356333674
EW(7.7)/EW(8.6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7171977943991137,0.28616016833773683,0.3248348442377842
EW(8.6)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5452819839464345,0.03466969665202757,0.03571004051514104
cont(12.7)/cont(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5809885893422984,0.07398099145055315,0.08079019587546576
cont(6.2)/cont(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1015809429718857,0.14391353242384386,0.14189903773970114
cont(7.7)/cont(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4366368689111804,0.17674189962596198,0.18722432069081663
cont(7.7)/cont(8.6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.543495852260818,0.07749348242239007,0.08724575504478338
cont(8.6)/cont(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5729647425104352,0.06367602614228796,0.06260058435086058
PAH(12.7)/PAH(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539839579705108,0.03312496995418979,0.03335532289203935
PAH(6.2)/PAH(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1965283597317529,0.02898336015058356,0.029460141821271213
PAH(7.7)/PAH(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.308990922957042,0.11765808648117826,0.12193058498355658
PAH(7.7)/PAH(8.6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.199225899859401,0.27936194635468325,0.35263941109260877
PAH(8.6)/PAH(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.829060938069831,0.047132037782878,0.0397312360258365
SF EW(12.7)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538180539860262,0.031811122122025304,0.03517490388834954
SF EW(6.2)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9846177980481552,0.03651052663660048,0.05331217133019539
SF EW(7.7)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2998467499050745,0.1376689411034846,0.13467204138048539
SF EW(7.7)/EW(8.6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.970221371034401,0.2892026283722755,0.3419886180633718
SF EW(8.6)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6646094246669962,0.03983115336216636,0.03465429386722829
Sil Depth 10,9.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.818668175122323,0.07956499002364226,0.07675761821621196
Nuclear Fraction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.31098955178287113,0.04079044298030021,0.03683163010943946
PAHtoSF Ratio,0,0.0,0.0,0.0,0.0,0.0,0.0,2.5420078324661812,0.17898338256157675,0.1829454438829612
